pdf,Title,Court,Date,No,page
a3,"Miller Motors, Inc. v. Ford Motor Co.",United States Court of Appeals for the Fourth Circuit,"October 23, 1957, Argued ; January 20, 1958, Decided",No. 7487,267
a3,Yonce v. Miners Memorial Hospital Ass'n,"United States District Court for the Western District of Virginia, Lynchburg Division",3-Apr-58,Civ. A. No. 411,276
a3,"American Union Transport, Inc. v. United States",United States Court of Appeals for the District of Columbia Circuit,"January 24, 1958, Argued ; April 24, 1958, Decided",No. 13866,287
a3,"Banana Distributors, Inc. v. United Fruit Co.",United States District Court for the Southern District of New York,8-May-58,Civil No. 87-361,294
a3,Crummer Co. v. Du Pont,United States Court of Appeals for the Fifth Circuit,8-May-58,No. 16609,312
a3,In re Special 1952 Grand Jury,United States District Court for the Eastern District of Pennsylvania,22-May-58,Misc. No. 1954,320
a3,United States v. Shubert,United States District Court for the Southern District of New York,24-Jun-58,Civil 56-72,326
a3,Dollac Corp. v. Margon Corp.,United States District Court for the District of New Jersey,"July 11, 1958.",Civ. No. 603-56.,329
a3,Walder v. Paramount Publix Corp.,United States District Court for the Southern District of New York.,"September 29, 1958.",Civ. 69-217.,356
a3,United States v. Maryland & Virginia Milk Producers Asso.,United States District Court for the District of Columbia,16-Oct-58,Civ. A. No. 4482-56,358
a3,"Goldlawr, Inc. v. Shubert",United States District Court for the Eastern District of Pennsylvania,22-Dec-58,"Civ. A. Nos. 21506, 22092",366
a3,"INTERNATIONAL BOXING CLUB OF NEW YORK, INC. v. UNITED STATES",Supreme Court of the United States,"November 13, 1958, Argued ; January 12, 1959, Decided",No. 18,381
a3,Johnson & Johnson v. G. E. M. Sundries Co.,Supreme Court of Hawaii,"November 20, 1958, Argued ; January 16, 1959, Decided",No. 4055,401
a3,UNITED STATES v. RCA,Supreme Court of the United States,"December 8, 1958, Argued ; February 24, 1959, Decided",No. 54,412
a3,Ludwig v. American Greetings Corp.,United States Court of Appeals for the Sixth Circuit,11-Mar-59,No. 13549,428
a3,"Jewel Tea Co. v. Local Union No. 189, Amalgamated Meat Cutters","United States District Court for the Northern District of Illinois, Eastern Division.","March 31, 1959.",58 C 1415.,433
a3,"Englander Motors, Inc. v. Ford Motor Co.",United States Court of Appeals for the Sixth Circuit,26-May-59,No. 13567,437
a3,"Cameron Iron Works, Inc. v. Edward Valves, Inc.","United States District Court for the Southern District of Texas, Houston Division",30-Jul-59,No. 10701,442
a3,Atlas Bldg. Products Co. v. Diamond Block & Gravel Co.,United States Court of Appeals for the Tenth Circuit,17-Aug-59,No. 5990,457
a3,"Federal Trade Com. v. Hunt Foods & Industries, Inc.","United States District Court for the Southern District of California, Central Division",27-Oct-59,No. 732-59,466
a3,United States v. Brown Shoe Co.,"United States District Court for the Eastern District of Missouri, Eastern Division",20-Nov-59,No. 10527(3),476
a3,"Radiant Burners, Inc. v. Peoples Gas, Light & Coke Co.",United States Court of Appeals for the Seventh Circuit,3-Dec-59,No. 12638,496
a3,"Noerr Motor Freight, Inc. v. Eastern R. Presidents Conference",United States Court of Appeals for the Third Circuit,"June 8, 1959, Argued ; December 10, 1959, Decided","Nos. 12750, 12751",501
a3,Minneapolis & S. L. R. Co. v. United States,Supreme Court of the United States,"November 16-17, 1959, Argued ; December 14, 1959, Decided",No. 12,513
a3,Reliable Volkswagen Sales & Service Co. v. World-Wide Auto. Corp.,United States District Court for the District of New Jersey,24-Feb-60,Civ. A. No. 132-59,531
a3,United States v. Parke,Supreme Court of the United States,"November 10, 1959, Argued ; February 29, 1960, Decided",No. 20,548
a3,United States v. St. Regis Paper Co.,United States District Court for the Southern District of New York,15-Mar-60,Civil No. 150-271.,567
a3,United States v. Westinghouse Elec. Corp.,United States District Court for the Eastern District of Pennsylvania.,"March 24, 1960.","Criminal Nos. 20234, 20235, 20236, 20238, 20239, 20240, and 20241, respectively.",574
a3,"Messner v. Journeymen Barbers, etc.",Supreme Court of California,7-Apr-60,L. A. No. 25288,581
a3,"Remington Arms Co. v. G. E. M. of St. Louis, Inc.",Supreme Court of Minnesota,8-Apr-60,"No. 37,969",607
a3,"North Carolina Theatres, Inc. v. Thompson",United States Court of Appeals for the Fourth Circuit,"January 7, 1960, Argued ; April 18, 1960, Decided",No. 7981,616
a3,"United States v. Fish Smokers Trade Council, Inc.",United States District Court for the Southern District of New York,22-Apr-60,Civ. 103-358.,622
a3,United States v. Columbia Pictures Corp.,United States District Court for the Southern District of New York,26-Apr-60,No Number in Original,631
a3,Maryland & Virginia Milk Producers Ass'n v. United States,Supreme Court of the United States,"January 19-20, 1960, Argued ; May 2, 1960, Decided",No. 62,636
a3,Wexler v. Greenberg,the Supreme Court of Pennsylvania,"Argued November 19, 1959.  ; May 4, 1960",No Number in Original,650
a3,"International Brotherhood of Teamsters, etc. v. Oliver",Supreme Court of the United States,"May 16, 1960, Decided",No. 813,658
a3,Plymouth Dealers' Asso. v. United States,United States Court of Appeals for the Ninth Circuit,26-May-60,No. 16600,661
a3,"Lehmann Trading Corp. v. J & H Stolow, Inc.",United States District Court for the Southern District of New York,27-May-60,Civ. 154-137.,669
a3,In re Grand Jury Investigation of Shipping Industry,United States District Court for the District of Columbia,14-Jun-60,Misc. No. 5-60,673
a3,Parmelee Transp. Co. v. Keeshin,"United States District Court for the Northern District of Illinois, Eastern Division",30-Jun-60,No. 56 C 323,697
a3,FTC v. Washington Fish & Oyster Co.,United States Court of Appeals for the Ninth Circuit,22-Jul-60,No. 16541,713
a3,Rogers v. American Can Co.,United States District Court for the District of New Jersey,27-Sep-60,Civ. A. No. 684-58,718
a3,"Sunkist Growers, Inc. v. Winckler & Smith Citrus Products Co.",United States Court of Appeals for the Ninth Circuit,30-Sep-60,No. 15242,725
a3,United States v. Lake Asphalt & Petroleum Co.,United States District Court for the District of Massachusetts.,"October 17, 1960.",Civil Action No. 59-786-W.,757
a3,McElhenney Co. v. Western Auto Supply Co.,United States Court of Appeals for the Fourth Circuit,"October 6, 1960, Argued ; November 2, 1960, Decided",No. 8121,761
a3,United States v. Allied Chem. Corp.,United States District Court for the District of Massachusetts.,"November 28, 1960.",Civil Action No. 59-784-S.,762
a3,"Huntington Imported Cars, Inc. v. Standard-Triumph Motor Co.",United States District Court for the Eastern District of New York,1-Dec-60,Civ. A. No. 60-C-922,765
a3,"Union Leader Corp. v. Newspapers of New England, Inc.",United States Court of Appeals for the First Circuit,"September 22, 1960, Heard ; December 2, 1960, Decided","Nos. 5619, 5620",769
a3,"United States v. Bituminous Concrete Assn., Inc.",United States District Court for the District of Massachusetts.,"December 7, 1960.",Civil Action No. 59-785-M.,777
a3,"Hunt Foods & Industries, Inc. v. Federal Trade Com.",United States Court of Appeals for the Ninth Circuit,15-Dec-60,No. 16751,781
a3,"State by Clark v. Applebaums Food Markets, Inc.",Supreme Court of Minnesota,23-Dec-60,"No. 38,164",794
a3,Simpson v. Union Oil Co.,"United States District Court for the Northern District of California, Southern Division.","December 30, 1960.",No. 37344.,808
a3,United States v. Gasoline Retailers Asso.,United States Court of Appeals for the Seventh Circuit,12-Jan-61,Nos. 13038-13040,814
a3,Associated Beverages Co. v. P. Ballantine & Sons,United States Court of Appeals for the Fifth Circuit,7-Feb-61,No. 18335,819
a3,Bruner v. Republic Acceptance Corp.,"United States District Court for the Eastern District of Arkansas, Western Division",14-Feb-61,No. LR-60-C-103,824
a3,Page v. Work,United States Court of Appeals for the Ninth Circuit,8-Mar-61,No. 16787,831
a3,"United States v. Pan American World Airways, Inc.",United States District Court for the Southern District of New York,8-Mar-61,Civ. 90-259.,844
a3,Fleet-Wing Corp. v. Pease Oil Co.,"Supreme Court of New York, Special Term, Erie County",24-Mar-61,No Number in Original,876
a3,"Banana Distributors, Inc. v. United Fruit Co.",United States District Court for the Southern District of New York,29-Mar-61,Civil 87-361.,883
a3,California v. Federal Power Com.,United States Court of Appeals for the District of Columbia Circuit,"January 25, 1961, Argued ; March 30, 1961, Decided",No. 15687,896
a3,"Climatic Air Distributors v. Climatic Air Sales, Inc.",Supreme Court of Texas,"April 19, 1961, Decided",No. A-7939,904
a3,United States v. White Motor Co.,"United States District Court for the Northern District of Ohio, Eastern Division",21-Apr-61,Civ. A. No. 34593,909
a3,"Samuel Goldwyn Productions, Inc. v. Fox West Coast Theatres Corp.","United States District Court for the Northern District of California, Southern Division","May 4, 1961, Supplemental Opinion May 31, 1961",No. 29756,934
a3,United States v. E. I. du Pont de Nemours & Co.,Supreme Court of the United States,"February 20-21, 1961, Argued ; May 22, 1961, Decided",No. 55,949
a3,Young v. Motion Picture Asso.,United States District Court for the District of Columbia,12-Jun-61,Div. A. No. 4189-60,981
a3,Gottesman v. General Motors Corp.,United States District Court for the Southern District of New York,7-Jul-61,Civ. 121-251.,986
a3,"Englander Motors, Inc. v. Ford Motor Co.",United States Court of Appeals for the Sixth Circuit,17-Jul-61,No. 14346,989
a3,Sun Oil Co. v. Federal Trade Com.,United States Court of Appeals for the Fifth Circuit,24-Jul-61,No. 17658,995
a3,K. S. Corp. v. Chemstrand Corp.,United States District Court for the Southern District of New York,29-Sep-61,61 Civ. 428.,1017
a3,"Alexander's Dep't Stores, Inc. v. E. J. Korvette, Inc.",United States District Court for the Southern District of New York,2-Oct-61,61 Civ. 2627.,1023
a3,Wright v. Phillips,"Court of Civil Appeals of Texas, Beaumont",30-Nov-61,No. 6499,1026
a3,Dairy Foods v. Dairy Maid Prods. Coop.,United States Court of Appeals for the Seventh Circuit,18-Dec-61,"Nos. 13338, 13421",1030
a3,Siegfried v. Kansas City Star Co.,United States Court of Appeals for the Eighth Circuit,9-Jan-62,No. 16802,1037
a3,United States v. Philadelphia Nat'l Bank,United States District Court for the Eastern District of Pennsylvania,15-Jan-62,Civ. A. No. 29287,1046
a3,"United States v. North American Van Lines, Inc.",United States District Court for the District of Columbia,29-Jan-62,Crim. No. 527-61,1073
a3,Grand Union Co. v. FTC,United States Court of Appeals for the Second Circuit,"October 10, 1961, Argued ; February 7, 1962, Decided","No. 7, Docket 26553",1081
a3,Scott Paper Co. v. FTC,United States Court of Appeals for the Third Circuit,"November 17, 1961, Argued ; March 27, 1962, Decided",No. 13537,1093
a3,Friedman v. United States Trunk Co.,United States District Court for the Southern District of New York,9-Apr-62,No Number in Original,1099
a3,California v. Federal Power Comm'n,Supreme Court of the United States,"March 1, 1962, Argued ; April 30, 1962, Decided",No. 187,1102
a3,United States v. Singer Mfg. Co.,United States District Court for the Southern District of New York,11-May-62,Civ. 154-108.,1117
a4,"Heavy, Highway Bldg. & Constr. Teamsters Committee v. Superior Court of","Court of Appeal of California, First Appellate District, Division Two","May 16, 1962 ; May 16, 1962",Civ. No. 20483,21
a4,San Francisco,United States District Court for the Southern District of New York.,"May 31, 1962.",Civ. 87-361.,27
a4,"News, Inc. v. Lindsay Newspapers, Inc.","United States District Court for the Southern District of Florida, Tampa Division.","June 7, 1962.","Nos. 3478-Civ.-T and 3479-Civ.-T, respectively.",34
a4,Susser v. Carvel Corp.,United States District Court for the Southern District of New York,7-Jun-62,"60 Civ. 2042, respectively.",37
a4,Rogers v. Am. Can Co.,United States Court of Appeals for the Third Circuit,"May 2, 1961, Argued ; June 15, 1962, Decided",Nos.  13493-13495,54
a4,Futurecraft Corp. v. Clary Corp.,"Court of Appeal of California, Second Appellate District, Division One",29-Jun-62,Civ. No. 25602,76
a4,"Golden Fuel Service, Inc. v. Esso Standard Oil Co.",United States Court of Appeals for the Third Circuit,"February 6, 1962, Argued ; July 24, 1962, Decided",No. 13730,97
a4,Leh v. General Petroleum Corp.,"United States District Court for the Southern District of California, Central Division",30-Aug-62,Civ. A. No. 20531-WM,101
a4,Denison Mattress Factory v. Spring-Air Co.,United States Court of Appeals for the Fifth Circuit,6-Sep-62,No. 18774,109
a4,Stalker Corp. v. United States,"United States District Court for the Eastern District of Michigan, Southern Division",27-Sep-62,Civ. No. 21485,122
a4,Commonwealth Edison Co. v. Allis-Chalmers Mfg. Co.,"United States District Court for the Northern District of Illinois, Eastern Division",18-Oct-62,"Civ. A. Nos. 61 C 1277, related cases, 62 C 348",129
a4,United States v. Loew's,Supreme Court of the United States,"October 16, 1962, Argued ; November 5, 1962, Decided",No. 42,147
a4,Public Service Co. v. Federal Pacific Electric Co.,United States District Court for the District of New Mexico,7-Nov-62,Civ. No. 4964,164
a4,"Intermountain Ford Tractor Sales Co. v. Massey-Ferguson, Ltd.","United States District Court for the District of Utah, Central Division",9-Nov-62,No. C 160-61,169
a4,United States v. General Electric Co.,United States District Court for the Eastern District of Pennsylvania,10-Dec-62,"Crim. Nos. 20235, 20236, 20238, 20240, 20348-20350, 20399, 20400",178
a4,Convertible Top Replacement Co. v. Aro Mfg. Co.,United States Court of Appeals for the First Circuit,13-Dec-62,"Nos. 5991, 5993",180
a4,Shuman v. Bernie's Drug Concessions,the Supreme Court of Pennsylvania,"Argued November 15, 1962 ; January 21, 1963",No Number in Original,187
a4,Shasta Douglas Oil Co. v. Work,"Court of Appeal of California, Third Appellate District",4-Feb-63,Civ. No. 10457,193
a4,White Motor Co. v. United States,Supreme Court of the United States,"January 14-15, 1963, Argued ; March 4, 1963, Decided",No. 54,199
a4,International Shoe Machine Corp. v. United Shoe Machinery Corp.,United States Court of Appeals for the First Circuit,11-Mar-63,No. 6043,219
a4,United States v. Ingersoll-Rand Co.,United States District Court for the Western District of Pennsylvania,11-Apr-63,Civ. A. No. 63-124,232
a4,United States v. Penn-Olin Chemical Co.,United States District Court for the District of Delaware,1-May-63,Civ. A. No. 2282,257
a4,De Martini v. Department of Alcoholic Beverage Control,"Court of Appeal of California, First Appellate District, Division One",7-May-63,"Civ. Nos. 19938, 20051",286
a4,"Union Leader Corp. v. Newspapers of New England, Inc.",United States District Court for the District of Massachusetts,10-Jun-63,Civ. A. No. 59-23,310
a4,United States v. Philadelphia Nat'l Bank,Supreme Court of the United States,"February 20-21, 1963, Argued ; June 17, 1963, Decided",No. 83,313
a4,Viking Theatre Corp. v. Paramount Film Distributing Corp.,United States Court of Appeals for the Third Circuit,"July 24, 1963, Submitted ; June 21, 1963, Decided",No. 13756,361
a4,United States v. FMC Corp.,"United States District Court for the Northern District of California, Southern Division",27-Jun-63,Civ. A. No. 41541,377
a4,Cohon v. Department of Alcoholic Beverage Control,"Court of Appeal of California, First Appellate District, Division One",16-Jul-63,Civ. No. 20485,384
a4,Petition of Gold Bond Stamp Co.,"United States District Court for the District of Minnesota, Fourth Division",9-Aug-63,No. 4-62 Civil 369,395
a4,Highland Supply Corp. v. Reynolds Metals Co.,"United States District Court for the Eastern District of Missouri, Eastern Division",21-Aug-63,No. 63 C 53(2),403
